"","clean_site","origin","grouping"
"1","abdomen_abdominalwall","primary&mets","NON_PORTAL"
"2","abdomen_biliary","primary&mets","PORTAL"
"3","abdomen_foregut","primary&mets","PORTAL"
"4","abdomen_hindgut","primary&mets","PORTAL"
"5","pelvis_hindgut","primary&mets","PORTAL"
"6","abdomen_liver","primary&mets","LIVER"
"7","abdomen_midgut","primary&mets","PORTAL"
"8","abdomen_node","mets","PORTAL"
"9","abdomen_peritoneum.serosa","primary&mets","PORTAL"
"10","abdomen_skin","primary&mets","NON_PORTAL"
"11","abdomen_softTissue","mets","NON_PORTAL"
"12","abdomen_spleen","mets","PORTAL"
"13","abdomen_unknown","primary&mets","PORTAL"
"14","axilla_node","mets","NON_PORTAL"
"15","back_bone.spine","primary&mets","NON_PORTAL"
"16","back_softTissue","primary&mets","NON_PORTAL"
"17","chest_bone","primary&mets","NON_PORTAL"
"18","chest_breast","primary&mets","NON_PORTAL"
"19","chest_chestwall","primary&mets","NON_PORTAL"
"20","chest_lung","primary&mets","LUNG"
"21","chest_pleura.serosa","primary&mets","NON_PORTAL"
"22","chest_unknown","primary","NON_PORTAL"
"23","head_bone","primary&mets","NON_PORTAL"
"24","head_cns","primary&mets","NON_PORTAL"
"25","head_exocrineGland","primary&mets","NON_PORTAL"
"26","head_eye","primary&mets","NON_PORTAL"
"27","head_oral","primary&mets","NON_PORTAL"
"28","neck_pharynx","primary","NON_PORTAL"
"29","head_sinonasal","primary&mets","NON_PORTAL"
"30","head_skin","primary&mets","NON_PORTAL"
"31","head_softTissue","primary&mets","NON_PORTAL"
"32","head_unknown","primary","NON_PORTAL"
"33","intransitMet_node","mets","NON_PORTAL"
"34","lowerExtremity_bone","primary&mets","NON_PORTAL"
"35","lowerExtremity_node","primary&mets","NON_PORTAL"
"36","lowerExtremity_skin","primary","NON_PORTAL"
"37","lowerExtremity_softTissue","primary&mets","NON_PORTAL"
"38","mediastinum_foregut","primary&mets","NON_PORTAL"
"39","mediastinum_heart","primary&mets","NON_PORTAL"
"40","mediastinum_node","primary&mets","NON_PORTAL"
"41","mediastinum_pericardium.serosa","mets","NON_PORTAL"
"42","mediastinum_thymus","primary&mets","NON_PORTAL"
"43","mediastinum_trachea","primary&mets","NON_PORTAL"
"44","meninges","mets","NON_PORTAL"
"45","neck_unknown","primary&mets","NON_PORTAL"
"46","neck_node","mets","NON_PORTAL"
"47","neck_respiratoryTract","primary&mets","NON_PORTAL"
"48","neck_thyroid","primary&mets","NON_PORTAL"
"49","pelvis_bladder","primary&mets","NON_PORTAL"
"50","pelvis_bone","mets","NON_PORTAL"
"51","pelvis_cervix","primary&mets","NON_PORTAL"
"52","pelvis_femaleGenital","primary&mets","NON_PORTAL"
"53","pelvis_maleGenital","mets","NON_PORTAL"
"54","pelvis_node","primary&mets","NON_PORTAL"
"55","pelvis_unknown","primary&mets","NON_PORTAL"
"56","pelvis_ovary","primary&mets","NON_PORTAL"
"57","pelvis_prostate","primary&mets","NON_PORTAL"
"58","pelvis_urinaryTract","primary&mets","NON_PORTAL"
"59","pelvis_uterus","primary&mets","NON_PORTAL"
"60","perineum_femaleGenital","primary&mets","NON_PORTAL"
"61","perineum_maleGenital","primary&mets","NON_PORTAL"
"62","perineum_skin","primary&mets","NON_PORTAL"
"63","perineum_testis","primary&mets","NON_PORTAL"
"64","perineum_unknown","primary","NON_PORTAL"
"65","retroperitoneum_adrenal","primary&mets","NON_PORTAL"
"66","retroperitoneum_bloodVessel","mets","NON_PORTAL"
"67","retroperitoneum_kidney","primary&mets","NON_PORTAL"
"68","retroperitoneum_node","mets","NON_PORTAL"
"69","retroperitoneum_pancreas","primary&mets","PORTAL"
"70","retroperitoneum_softTissue","mets","NON_PORTAL"
"71","retroperitoneum_unknown","primary","NON_PORTAL"
"72","retroperitoneum_urinaryTract","primary&mets","NON_PORTAL"
"73","undeterminate_bloodVessel","primary&mets","NON_PORTAL"
"74","undeterminate_bone","primary&mets","NON_PORTAL"
"75","undeterminate_nerve","primary","NON_PORTAL"
"76","undeterminate_node","primary&mets","NON_PORTAL"
"77","undeterminate_skin","primary&mets","NON_PORTAL"
"78","undeterminate_softTissue","primary&mets","NON_PORTAL"
"79","undeterminate_unknown","primary&mets","NON_PORTAL"
"80","upperExtremity_bone","mets","NON_PORTAL"
"81","upperExtremity_skin","primary","NON_PORTAL"
"82","upperExtremity_softTissue","primary&mets","NON_PORTAL"
