tissue_icd_billing,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,site11
ADRENAL_GLAND,retroperitoneum_adrenal,,,,,,,,,,
BILIARY_TRACT,abdomen_biliary,retroperitoneum_pancreas,,,,,,,,,
BLADDER_OR_URINARY_TRACT,pelvis_bladder,pelvis_urinaryTract,retroperitoneum_urinaryTract,,,,,,,,
BONE,back_bone.spine,chest_bone,head_bone,lowerExtremity_bone,pelvis_bone,undeterminate_bone,upperExtremity_bone,,,,
BOWEL,abdomen_foregut,abdomen_midgut,abdomen_hindgut,pelvis_hindgut,,,,,,,
BREAST,chest_breast,,,,,,,,,,
CNS_BRAIN,head_cns,meninges,,,,,,,,,
GENITAL_FEMALE,perineum_maleGenital,pelvis_maleGenital,perineum_testis,pelvis_prostate,,,,,,,
GENITAL_MALE,pelvis_femaleGenital,pelvis_uterus,pelvis_cervix,,,,,,,,
HEAD_AND_NECK,head_exocrineGland,head_sinonasal,head_unknown,neck_respiratoryTract,neck_pharynx,neck_unknown,neck_thyroid,,,,
KIDNEY,retroperitoneum_kidney,,,,,,,,,,
LIVER,abdomen_liver,,,,,,,,,,
LUNG,chest_lung,,,,,,,,,,
LYMPH,neck_node,pelvis_node,retroperitoneum_node,axilla_node,abdomen_node,mediastinum_node,lowerExtremity_node,abdomen_spleen,intransitMet_node,undeterminate_node,
MEDIASTINUM,mediastinum_pericardium.serosa,mediastinum_trachea,mediastinum_heart,mediastinum_foregut (Esophagus),abdomen_foregut (Stomach),mediastinum_thymus,,,,,
OTHER,head_eye,abdomen_softTissue,abdomen_abdominalwall,back_softTissue,chest_chestwall,head_softTissue,lowerExtremity_softTissue,retroperitoneum_softTissue,undeterminate_softTissue,upperExtremity_softTissue,undeterminate_unknown
OVARY,pelvis_ovary,,,,,,,,,,
PERIPHERAL_NERVOUS_SYSTEM,undeterminate_nerve,,,,,,,,,,
PERITONEUM,abdomen_peritoneum.serosa,,,,,,,,,,
PLEURA,chest_pleura.serosa,,,,,,,,,,
SKIN,abdomen_skin,head_skin,lowerExtremity_skin,perineum_skin,undeterminate_skin,upperExtremity_skin,,,,,
