tissue_oncotree,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,notes
Adrenal Gland,retroperitoneum_adrenal,,,,,,,,,,
Ampulla of Vater,abdomen_foregut,,,,,,,,,,better to match this by cancer type-as discussed in last meeting
Biliary Tract,abdomen_biliary,,,,,,,,,,
Bladder/Urinary Tract,pelvis_bladder,pelvis_urinaryTract,retroperitoneum_urinaryTract,,,,,,,,
Bone,back_bone.spine,chest_bone,head_bone,lowerExtremity_bone,pelvis_bone,undeterminate_bone,upperExtremity_bone,,,,
Bowel,abdomen_foregut,abdomen_midgut,abdomen_hindgut,pelvis_hindgut,,,,,,,
Breast,chest_breast,,,,,,,,,,
CNS/Brain,head_cns,meninges,,,,,,,,,
Cervix,pelvis_cervix,,,,,,,,,,
Esophagus/Stomach,mediastinum_foregut (Esophagus),abdomen_foregut (Stomach),,,,,,,,,
Eye,head_eye,,,,,,,,,,
Head and Neck,head_exocrineGland,head_sinonasal,head_unknown,neck_respiratoryTract,neck_pharynx,neck_unknown,,,,,
Kidney,retroperitoneum_kidney,,,,,,,,,,
Liver,abdomen_liver,,,,,,,,,,
Lung,chest_lung,,,,,,,,,,
Lymphatic,neck_node,pelvis_node,retroperitoneum_node,axilla_node,abdomen_node,mediastinum_node,lowerExtremity_node,abdomen_spleen,intransitMet_node,undeterminate_node,
Myeloid,,,,,,,,,,,
Other,undeterminate_unknown,,,,,,,,,,
Ovary/Fallopian Tube,pelvis_ovary,pelvis_femaleGenital,,,,,,,,,
Pancreas,retroperitoneum_pancreas,,,,,,,,,,
Penis,perineum_maleGenital,,,,,,,,,,
Peripheral Nervous System,undeterminate_nerve,,,,,,,,,,
Peritoneum,abdomen_peritoneum.serosa,,,,,,,,,,
Pleura,chest_pleura.serosa,,,,,,,,,,
Prostate,pelvis_prostate,,,,,,,,,,
Skin,abdomen_skin,head_skin,lowerExtremity_skin,perineum_skin,undeterminate_skin,upperExtremity_skin,,,,,
Soft Tissue,abdomen_softTissue,abdomen_abdominalwall,back_softTissue,chest_chestwall,head_softTissue,lowerExtremity_softTissue,retroperitoneum_softTissue,undeterminate_softTissue,upperExtremity_softTissue,,
Testis,pelvis_maleGenital,perineum_testis,,,,,,,,,
Thymus,mediastinum_thymus,,,,,,,,,,
Thyroid,neck_thyroid,,,,,,,,,,
Uterus,pelvis_uterus,,,,,,,,,,
Mediastinum,mediastinum_pericardium.serosa,mediastinum_trachea,mediastinum_heart,,,,,,,,
